id,fake-company-name,description,tagline,company-email,ein
"1","Schmidt-Corkery","Assimilated Background Utilisation","Morph Bricks-And-Clicks Technologies","berge.amos@torp.com","60-2628574"
"2","Lesch Inc","Business-Focused Foreground Time-Frame","Envisioneer Back-End E-Commerce","spinka.faye@oberbrunner.org","47-4515212"
"3","Kiehn, Abbott and Hermann","Progressive Heuristic Collaboration","Strategize Front-End E-Tailers","hickle.lela@halvorson.com","25-7363199"
"4","Sawayn, Hettinger and Rippin","Digitized Exuding Encoding","Transition Virtual Action-Items","tchristiansen@stroman.com","51-7847748"
"5","Rippin-Connelly","Front-Line Cohesive Intranet","Monetize Rich Supply-Chains","bdooley@bahringer.net","04-4552454"
"6","Lang-Corkery","Customizable Bottom-Line Matrix","Redefine Plug-And-Play Systems","qbergstrom@daugherty.info","85-4422322"
"7","Romaguera-Hill","Advanced Tertiary Concept","Grow Killer Deliverables","dcasper@krajcik.com","32-3414936"
"8","Lowe, Ritchie and Mosciski","Enhanced Object-Oriented Artificialintelligence","E-Enable Next-Generation Metrics","iborer@okeefe.com","84-2499929"
"9","Schimmel-Barrows","Optimized Uniform Support","Streamline Revolutionary Interfaces","nya.smith@oconner.biz","81-6695386"
"10","Bins Group","Grass-Roots Eco-Centric Focusgroup","Reinvent Cutting-Edge Convergence","ratke.burnice@hoeger.com","30-9485912"
"11","Nader LLC","Multi-Lateral Web-Enabled Focusgroup","Cultivate Mission-Critical Deliverables","anibal99@dibbert.org","52-8473026"
"12","Will-Abernathy","Triple-Buffered Bi-Directional Systemengine","Reintermediate Sexy Relationships","margot.mclaughlin@will.com","25-3224932"
"13","Luettgen, Denesik and Murazik","De-Engineered Background Complexity","Integrate Back-End Interfaces","mcole@hammes.com","90-8103207"
"14","Harvey, Gutmann and Huels","Profit-Focused Explicit Functionalities","Drive Innovative Functionalities","ohessel@waelchi.com","77-7369884"
"15","Dach PLC","Versatile Multimedia Framework","Recontextualize Viral E-Tailers","mathew57@sauer.biz","02-4447473"
"16","Marquardt, Murazik and Bartell","Networked Bandwidth-Monitored Forecast","Evolve B2B Action-Items","matilde79@tromp.net","44-3516724"
"17","O'Hara Inc","Reactive Directional Info-Mediaries","Orchestrate One-To-One Supply-Chains","eheaney@schinner.com","74-7405011"
"18","Beier-Dare","Fundamental Object-Oriented Capability","Streamline Vertical Initiatives","camren.shanahan@crooks.net","24-4245278"
"19","Hudson Group","Digitized Modular Emulation","Evolve Granular E-Business","pschamberger@lubowitz.com","92-3181585"
"20","Willms-Nicolas","Re-Engineered Needs-Based Projection","Embrace Synergistic E-Commerce","allen94@vonrueden.com","37-5670750"
"21","Spencer Group","Upgradable Multi-Tasking Analyzer","Aggregate Customized Relationships","ztillman@ledner.com","03-6186722"
"22","Labadie and Sons","Object-Based Clear-Thinking Projection","Incubate B2B Interfaces","rdoyle@wisoky.net","10-6120126"
"23","Maggio Group","Ergonomic Reciprocal Implementation","Visualize Sexy Platforms","hsmitham@damore.org","61-4367853"
"24","Cassin-Greenholt","User-Friendly Intermediate Internetsolution","Drive Viral Users","sjaskolski@larson.com","50-2596274"
"25","Crona Ltd","Sharable 4Thgeneration Application","Enable Synergistic E-Tailers","taryn57@wisoky.com","88-3587170"
"26","Nolan Group","Horizontal Fresh-Thinking Initiative","Benchmark Front-End Infomediaries","elton.cummerata@feil.biz","51-8221119"
"27","Kilback-Streich","Digitized Multimedia Complexity","Transform Scalable Experiences","kertzmann.maymie@hessel.com","56-8127246"
"28","Satterfield Group","Assimilated Background Protocol","Deploy B2B Niches","muller.willie@rogahn.com","21-4975185"
"29","Koelpin, Cremin and Wunsch","Future-Proofed Well-Modulated Hierarchy","Repurpose Scalable Architectures","kautzer.winona@fahey.com","23-5505572"
